userName,review,at,score,app_name,sentiment_label,sentiment_score
arif Wahyu,lebih baik lagi kedepannya optimalkan pelayanan,2025-08-17 16:34:33,5,BRImo,negative,0.9981673955917358
channel azka timplus,mudah digunakan proses sangat cepat,2025-08-17 16:23:33,5,BRImo,positive,0.9981684684753418
RZaL,"kenapa ni aplikasi dibuka malah stuck logo, aplikasi sudah yang terbaru, sudah restart HP, jaringan juga aman masih ttp saja stuck logo",2025-08-17 16:19:15,1,BRImo,negative,0.9831732511520386
Abdullah Starsky,Dev mohon dibantun aplikasi Brimo di realmi 7i tidak bisa dijalankan dengan benar setelah dibuka menutup kembali sendiri.,2025-08-17 16:13:33,4,BRImo,neutral,0.7929986119270325
Novita Maulina,"ga sampe 1 bulan pake brimo pas ngirim pertma kli ke dana masuk,pas ke 2x ngirim masuk di brimonya tp di dananya g masuk² udh 2hr g masuk² juga ya tolong la balikin uang sy minimal yg jujur lah udh kena pajak,emngnya pajaknya kurang bnyak ya sampe uang khalayak pun ditelan",2025-08-17 16:04:00,1,BRImo,negative,0.9970486760139465
Edi,bagus,2025-08-17 15:45:26,5,BRImo,positive,0.9980973601341248
Cak Adhi,brimo kaya asu sekarang jancokkkkk g bisa buat tf anjeng brimo,2025-08-17 15:29:15,1,BRImo,negative,0.9097051620483398
Prasetyo Joyokusumo,"sejauh ini baik ,, ya mudah²han tidak ada pemblokiran akun bank karena saya hanya pengusaha kecil terkadang mendapatkan untung terkadang tidak sama sekali",2025-08-17 15:25:44,5,BRImo,positive,0.9559622406959534
Rini Sitohang,baguss bgttttt,2025-08-17 15:22:03,5,BRImo,positive,0.938342273235321
Yunita 014,lebih mudah bertransaksi dan potongannya lebih sedikit,2025-08-17 15:17:38,5,BRImo,positive,0.9877662658691406
Fatul 6655,good,2025-08-17 14:59:06,5,BRImo,positive,0.9990602135658264
uput cadel driver,lumayan,2025-08-17 14:28:24,4,BRImo,positive,0.9958784580230713
Mas Alfha,Oke bos,2025-08-17 14:22:45,2,BRImo,neutral,0.4784892797470093
Ardi Romadhon,nice. setelah di komplain baru langsung bisa. mohon dijaga pelayanan nya. supaya semakin banyak transaksi lewat brimo.,2025-08-17 14:13:12,5,BRImo,negative,0.540225088596344
